"","index","names","naics"
"1",1,"Agriculture, Forestry, Fishing, and Hunting ","NAICS 11"
"2",2,"Mining ","NAICS 21"
"3",3,"Construction ","NAICS 23"
"4",4,"Manufacturing ","NAICS 31-33"
"5",5,"Wholesale Trade ","NAICS 42"
"6",6,"Retail Trade ","NAICS 44-45"
"7",7,"Transportation and Warehousing ","NAICS 48-49"
"8",8,"Utilities ","NAICS 22"
"9",9,"Information ","NAICS 51"
"10",10,"Finance and Insurance ","NAICS 52"
"11",11,"Real Estate and Rental and Leasing ","NAICS 53"
"12",12,"Professional, Scientific and Technical Services ","NAICS 54"
"13",13,"Management of Companies and Enterprises ","NAICS 55"
"14",14,"Administrative and Waste Services ","NAICS 56"
"15",15,"Educational Services ","NAICS 61"
"16",16,"Health Care and Social Assistance ","NAICS 62"
"17",17,"Arts, Entertainment, and Recreation ","NAICS 71"
"18",18,"Accommodation and Food Services ","NAICS 72"
"19",19,"Other Services ","Except Public Administration"
"20",20,"Unsure ",NA
